code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
688981,中芯国际,0.34800000000000003,54.77,55.4,56.05,54.3,54.58,16180695,1.47681,890935898,0.0,4.16,43248311.863764,6000891.481,2021-03-10
688819,天能股份,0.091,43.89,44.48,44.6,43.66,43.85,3274629,3.24034,144194559,0.0,6.338,4266546.9,443544.918201,2021-03-10
688788,科思科技,-1.538,105.62,108.4,110.68,105.5,107.27,470956,2.83174,50385304,26.631,7.457,797792.558384,175660.360948,2021-03-10
688777,中控技术,0.8290000000000001,76.6,77.9,78.55,75.0,75.97,1324825,3.39413,102128271,0.0,16.01,3784683.44,298991.89144,2021-03-10
688699,明微电子,-0.728,62.76,64.5,64.85,62.61,63.22,639100,3.77846,40684245,43.283,8.898,466733.568,106154.203284,2021-03-10
688698,伟创电气,-0.304,16.38,16.6,17.1,16.2,16.43,3096268,8.45421,51348999,38.093,6.686,294840.0,59990.092344,2021-03-10
688696,极米科技,5.155,510.0,500.0,528.88,491.11,485.0,1942575,18.80092,995441384,71.13,24.462,2550000.0,526949.34,2021-03-10
688689,银河微电,-0.085,23.44,23.79,24.16,23.43,23.46,1714050,5.86938,40470798,41.857,4.059,300969.6,68452.446128,2021-03-10
688687,凯因科技,-3.773,26.78,28.28,28.44,26.75,27.83,2508275,6.49413,68101947,60.864,4.123,454800.514116,103434.260566,2021-03-10
688686,奥普特,3.084,256.68,254.87,262.16,246.8,249.0,576775,3.38322,147101530,74.599,22.862,2116985.49756,437590.50246,2021-03-10
688680,海优新材,1.316,137.8,137.0,141.75,136.81,136.01,560408,2.89882,77738219,126.422,13.448,1157795.6,266398.6117,2021-03-10
688679,通源环境,-1.038,14.3,14.72,14.84,14.27,14.45,1061696,3.54443,15335430,15.376,2.036,188316.23525,42834.15565,2021-03-10
688678,福立旺,0.599,20.17,19.96,20.4,19.41,20.05,1990961,5.64171,39743637,23.729,4.656,349646.95,71179.944119,2021-03-10
688677,海泰新光,0.713,64.99,65.0,67.98,62.34,64.53,3014580,16.99984,197250662,45.448,13.54,565283.02,115246.715008,2021-03-10
688676,金盘科技,-16.961,20.22,23.68,26.03,19.8,24.35,18213688,52.97636,406997640,33.7,3.957,860765.4,69517.951314,2021-03-10
688669,聚石化学,-4.877,39.01,41.19,41.37,38.84,41.01,1893048,9.95021,74815212,27.085,4.333,364093.335934,74217.309101,2021-03-10
688668,鼎通科技,-2.643,25.42,26.41,26.51,25.37,26.11,793029,4.1014800000000005,20476227,28.886,4.815,216425.88,49150.083484,2021-03-10
688665,四方光电,-2.122,57.65,58.71,59.84,56.2,58.9,821731,5.71148,47637459,46.492,16.485,403550.0,82943.09581,2021-03-10
688658,悦康药业,-2.609,22.4,23.22,23.38,22.35,23.0,3645997,4.39623,82910853,28.354,5.864,1008000.0,185773.53536,2021-03-10
688656,浩欧博,-4.961,73.94,78.89,80.0,72.52,77.8,555508,4.32804,41158077,54.77,18.565,466253.277232,94902.76637,2021-03-10
688628,优利德,-4.004,31.89,33.01,33.56,31.6,33.22,2250951,8.99998,72370035,17.426,6.315,350790.0,79758.86718,2021-03-10
688619,罗普特,-0.039,25.57,25.92,25.96,25.47,25.58,1950364,4.5484100000000005,50076782,34.554,7.039,478895.454355,109644.413143,2021-03-10
688618,三旺通信,-2.359,41.81,43.33,43.65,41.67,42.82,338606,3.14854,14337734,26.462,5.82,211255.456595,44964.000065,2021-03-10
688617,惠泰医疗,-2.421,190.28,195.0,198.43,187.01,195.0,188977,1.37654,36401662,115.321,22.59,1268596.76,261224.356732,2021-03-10
688608,恒玄科技,6.532,277.89,267.45,279.0,258.13,260.85,628823,2.73634,168631046,333.321,38.414,3334680.0,638603.891784,2021-03-10
688607,康众医疗,-2.391,34.7,35.5,35.98,34.56,35.55,1002519,5.45497,34995574,47.534,6.743,305807.72369,63771.91678,2021-03-10
688600,皖仪科技,-3.491,15.76,16.33,16.57,15.7,16.33,615453,1.9431500000000002,9864585,23.522,2.707,210143.84,49916.648,2021-03-10
688599,天合光能,-0.271,18.42,18.96,19.04,18.41,18.47,8170375,2.63391,152182545,0.0,2.596,3809304.58275,571388.4,2021-03-10
688598,金博股份,5.045,156.8,154.12,163.0,153.99,149.27,846160,4.418,134226086,119.185,10.188,1254400.0,300311.87424,2021-03-10
688596,正帆科技,0.252,15.94,16.03,16.36,15.52,15.9,1869136,3.28101,29633974,35.422,2.513,408861.0,90807.623224,2021-03-10
688595,芯海科技,2.148,61.35,60.4,62.18,57.5,60.06,1252629,6.15473,75233063,62.602,7.335,613500.0,124861.268475,2021-03-10
688590,新致软件,-1.6219999999999999,15.77,16.31,16.36,15.75,16.03,704686,1.9043700000000001,11301041,27.19,3.6470000000000002,287049.13556,58354.752896,2021-03-10
688589,力合微,-1.522,28.47,29.78,29.8,28.17,28.91,437628,1.70615,12525118,47.45,4.085,284700.0,73025.55,2021-03-10
688588,凌志软件,-2.327,19.73,20.25,20.59,19.62,20.2,767683,2.01971,15263041,47.405,7.035,789219.735919,74992.7435,2021-03-10
688586,江航装备,-0.611,22.76,23.2,23.3,22.5,22.9,1543356,1.662,35195020,61.514,4.829,918922.406892,211352.157204,2021-03-10
688585,上纬新材,-5.674,11.47,12.16,12.39,11.41,12.16,1488206,3.81358,17623954,52.136,4.362,462470.4,44760.389213,2021-03-10
688580,伟思医疗,-4.346,105.2,110.5,112.79,104.0,109.98,791840,4.82735,85400860,54.079,5.334,719006.93684,172561.67452,2021-03-10
688579,山大地纬,-2.329,12.58,13.05,13.07,12.5,12.88,635890,1.67298,8090242,57.919,4.499,503212.58,47815.951,2021-03-10
688578,艾力斯,6.431,34.26,33.0,35.15,32.6,32.19,6369384,9.30487,217850438,-31.145,11.962,1541700.0,234517.038492,2021-03-10
688577,浙海德曼,-0.596,41.73,42.2,42.86,41.26,41.98,120575,0.98172,5054443,36.929,3.009,225223.98756,51252.982131,2021-03-10
688571,杭华股份,-1.467,8.73,9.04,9.06,8.67,8.86,2471726,3.4009,21815434,22.974,2.322,279360.0,63448.404705,2021-03-10
688569,铁科轨道,-1.179,18.44,18.7,18.83,18.41,18.66,495778,0.98057,9203586,20.043,1.807,388469.3948,93232.699008,2021-03-10
688568,中科星图,-0.331,45.15,46.1,46.35,44.4,45.3,669333,1.35068,30096523,72.823,8.855,993300.0,223742.15241,2021-03-10
688567,孚能科技,1.35,33.04,33.5,33.91,32.76,32.6,4539820,2.94199,151369732,0.0,3.501,3537492.63924,509844.019776,2021-03-10
688566,吉贝尔,-1.984,22.23,22.7,23.11,22.14,22.68,264086,0.65705,5934810,0.0,2.737,415571.1768,89347.803012,2021-03-10
688561,奇安信,5.416,113.08,108.1,113.88,108.1,107.27,2452097,3.35147,274733108,-125.644,8.166,7685097.728,827347.354856,2021-03-10
688560,明冠新材,0.577,19.18,19.35,19.89,18.9,19.07,1215677,3.64056,23553974,22.565,3.249,314720.277648,64047.031734,2021-03-10
688559,海目星,0.29,20.75,20.9,21.38,20.5,20.69,1538282,3.23849,32161155,21.392,3.102,415000.0,98562.5,2021-03-10
688558,国盛智科,0.062,32.3,32.5,33.86,32.21,32.28,1254717,3.8021700000000003,41588918,0.0,3.571,426360.0,106590.0,2021-03-10
688557,兰剑智能,-1.718,35.47,36.46,36.9,35.35,36.09,521853,3.15556,18806638,25.336,4.781,257760.49,58658.704038,2021-03-10
688556,高测股份,-0.101,19.88,20.2,20.39,19.73,19.9,693141,1.80319,13868148,73.63,3.332,321760.5832,76418.23294,2021-03-10
688555,泽达易盛,-0.906,30.62,30.9,31.15,30.47,30.9,269939,1.3674,8302311,22.851,3.183,254482.82,60446.942,2021-03-10
688551,科威尔,-3.252,27.07,27.58,27.98,26.8,27.98,756949,3.98394,20714306,26.282,2.4,216560.0,51433.0,2021-03-10
688550,瑞联新材,-1.76,78.69,80.7,80.78,78.36,80.1,218157,1.28159,17301065,27.904,2.092,552258.845151,133949.179041,2021-03-10
688536,思瑞浦,4.882,407.99,401.37,414.95,398.0,389.0,601170,3.3246,244506374,244.305,12.809,3263920.0,737746.489535,2021-03-10
688529,豪森股份,-1.839,29.89,30.95,31.2,29.82,30.45,881340,3.02608,26821924,72.902,6.526,382592.0,87054.107903,2021-03-10
688528,秦川物联,-2.338,14.2,14.54,14.63,14.13,14.54,523111,1.31106,7474820,40.571,3.212,238560.0,56658.0,2021-03-10
688526,科前生物,-1.976,36.21,37.41,37.41,36.0,36.94,1725849,2.16412,62961583,54.045,6.525,1683765.0,288768.355314,2021-03-10
688521,芯原股份,-3.729,63.25,67.0,67.17,62.95,65.7,1199269,2.65239,77376335,-632.5,11.96,3089057.62935,285982.642275,2021-03-10
688520,神州细胞,0.548,42.23,42.13,42.78,41.85,42.0,427780,0.8559,18053867,0.0,23.761,1838422.720222,211065.54,2021-03-10
688519,南亚新材,-0.269,29.63,30.17,30.18,28.65,29.71,1784875,3.50666,52442160,34.453,2.727,694527.2,150815.24813,2021-03-10
688518,联赢激光,-2.16,13.59,13.99,14.27,13.57,13.89,854297,1.20222,11716957,0.0,2.931,406612.8,96570.54,2021-03-10
688516,奥特维,0.075,66.65,67.6,69.0,66.25,66.6,228775,1.08331,15337756,67.323,6.582,657635.55,140752.77634,2021-03-10
688513,苑东生物,-0.467,44.8,45.4,45.54,44.36,45.01,296013,1.14391,13250683,37.025,2.63,538003.2,115930.752,2021-03-10
688510,航亚科技,-4.382,24.0,25.22,25.5,24.0,25.1,1088383,2.20122,26873823,110.243,10.45,620118.2592,118666.8696,2021-03-10
688508,芯朋微,-3.71,80.71,85.0,85.5,80.71,83.82,1088128,4.06169,89637910,96.083,7.289,910408.8,216222.09,2021-03-10
688505,复旦张江,-0.935,14.84,15.0,15.14,14.79,14.98,1220758,1.2681200000000001,18176924,59.36,8.036,1547812.0,142857.316392,2021-03-10
688500,慧辰资讯,-2.96,36.39,37.55,38.21,36.25,37.5,266064,1.50828,9891708,33.355,2.299,270284.94189,64192.676883,2021-03-10
688488,艾迪药业,-2.215,19.87,20.29,20.36,19.82,20.32,752172,1.38929,15042712,220.778,6.184,834540.0,107577.799405,2021-03-10
688466,金科环境,-1.725,22.22,22.66,22.8,22.2,22.61,387355,1.58716,8709152,22.907,2.459,228332.72,54229.021,2021-03-10
688418,震有科技,-5.016,21.4,22.53,23.23,21.32,22.53,1045218,2.5401100000000003,22896164,50.952,3.374,414325.4,88057.74078,2021-03-10
688408,中信博,4.947,139.16,135.64,143.98,135.64,132.6,851541,2.6907200000000002,119239679,87.522,7.968,1888616.61968,440404.188616,2021-03-10
688399,硕世生物,0.042,143.5,144.11,146.99,142.51,143.44,419441,1.21985,60447107,77.568,5.896,841197.0,493417.575,2021-03-10
688398,赛特新材,-2.83,41.2,42.93,42.93,40.73,42.4,308927,0.8653400000000001,12817071,33.226,4.083,329600.0,147084.0,2021-03-10
688396,华润微,0.534,58.33,59.49,59.83,57.57,58.02,5464017,1.6601400000000002,320269874,127.945,6.936,7092491.662435,1919818.492317,2021-03-10
688393,安必平,-0.583,34.11,34.5,34.9,34.11,34.31,262410,1.18347,9008756,32.179,2.77,318382.74,75632.103,2021-03-10
688390,固德威,2.545,201.5,205.0,209.97,199.53,196.5,793544,3.78863,161710174,129.349,12.737,1773200.0,422050.3339,2021-03-10
688389,普门科技,-7.037,25.1,26.74,27.0,25.0,27.0,2099980,1.34748,54294020,96.538,9.705,1059722.0,391170.2472,2021-03-10
688388,嘉元科技,-0.512,67.98,69.36,71.5,67.29,68.33,1518983,0.90702,103937687,40.707,6.177,1569495.048,1138456.695684,2021-03-10
688386,泛亚微透,-0.26,45.95,46.86,47.1,45.81,46.07,105848,0.74289,4902389,55.361,8.199,321650.0,65470.2033,2021-03-10
688379,华光新材,-3.366,20.67,21.59,21.75,20.62,21.39,446276,2.13529,9355895,22.967,2.098,181896.0,43200.3,2021-03-10
688378,奥来德,1.709,47.01,46.18,47.5,46.01,46.22,420699,2.67545,19811350,22.287,2.223,343815.6267,73920.460812,2021-03-10
688377,迪威尔,-4.426,15.98,16.76,17.03,15.95,16.72,1195812,2.58645,19505243,24.585,2.064,311077.866,73881.3727,2021-03-10
688369,致远互联,0.059000000000000004,51.13,51.8,51.8,49.92,51.1,836612,1.4333,42388063,31.956,3.154,393647.737879,298444.291439,2021-03-10
688368,晶丰明源,3.705,172.15,165.11,181.42,165.11,166.0,308408,2.00831,53397990,91.085,8.885,1060444.0,264363.59356,2021-03-10
688366,昊海生科,-0.513,97.01,100.0,100.49,95.67,97.51,551896,1.39874,54118770,42.736,3.214,1719081.2266,382768.292281,2021-03-10
688365,光云科技,-6.383,23.76,25.74,26.08,23.5,25.38,2159497,6.04693,52928463,88.0,8.71,952776.0,84852.441432,2021-03-10
688363,华熙生物,3.738,138.49,136.59,140.5,136.58,133.5,1923376,2.06057,266660661,103.351,13.802,6647520.0,1292692.748644,2021-03-10
688360,德马科技,-4.78,30.28,32.03,32.18,30.12,31.8,448267,2.19478,13881080,30.28,3.049,259428.741772,61844.453376,2021-03-10
688358,祥生医疗,-4.431,48.75,50.83,51.32,48.5,51.01,278776,1.4519600000000001,13762938,28.676,3.362,390000.0,93600.0,2021-03-10
688357,建龙微纳,-2.677,60.35,63.0,63.31,59.66,62.01,354698,1.35036,21510299,31.269,3.727,348943.7,158521.345,2021-03-10
688356,键凯科技,-1.038,91.54,95.5,95.88,91.19,92.5,234639,1.64659,21911619,66.818,6.617,549240.0,130444.5,2021-03-10
688350,富淼科技,-4.004,21.1,22.19,22.44,20.88,21.98,1758376,7.06848,37735900,22.688,2.026,257736.5,52488.95713,2021-03-10
688339,亿华通,2.018,270.98,273.0,279.8,261.12,265.62,484935,3.00336,132052078,0.0,8.545,1910409.0,437535.634964,2021-03-10
688338,赛科希德,-2.726,47.81,49.18,49.92,47.69,49.15,409370,2.0891,19772734,40.176,2.941,390359.088,93686.18112,2021-03-10
688336,三生国健,-1.313,18.79,19.23,19.23,18.61,19.04,442179,0.74326,8331376,43.698,2.479,1157861.245027,111785.417267,2021-03-10
688335,复洁环保,-2.147,32.36,33.05,33.46,32.23,33.07,264277,1.5245700000000002,8626319,26.309,2.231,234679.599888,56094.681464,2021-03-10
688333,铂力特,-2.467,133.62,138.11,140.87,130.29,137.0,1588542,3.57895,211813915,122.587,10.208,1068960.0,593082.404862,2021-03-10
688330,宏力达,-2.209,76.16,77.51,78.91,76.01,77.88,521627,2.24883,40024310,23.95,2.571,761600.0,176656.493888,2021-03-10
688328,深科达,-22.874,40.26,49.53,50.5,39.15,52.2,8730088,52.9311,385072111,33.55,5.321,326267.04,66402.049956,2021-03-10
